update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
282,1,589.633,0.143,427.507,0.0217,158.066,5,5,1.0000,6553.60,20.000000,0.005379,0.238192,2.079841,34.2,162.0,34.2,162.0
283,2,949.851,0.223,892.637,0.0209,50.185,2,2,1.0000,16384.00,20.000000,0.006053,0.715530,1.586877,34.2,162.0,34.2,164.0
284,1,563.819,0.087,462.909,0.0212,97.056,4,4,1.0000,8192.00,20.000000,0.004633,0.230735,2.000372,34.2,164.0,34.2,166.0
285,1,608.461,0.134,431.331,0.0224,172.920,7,6,0.8571,4681.14,17.142857,0.004660,0.633232,1.914748,34.2,166.0,34.2,160.0
286,1,731.028,0.145,442.267,0.0224,283.985,12,12,1.0000,2730.67,20.833333,0.006878,0.585294,2.116482,34.2,160.0,34.2,162.0
287,1,665.825,0.080,425.634,0.0218,236.156,6,6,1.0000,5461.33,20.000000,0.006947,0.360139,2.177963,34.2,162.0,34.2,158.0
288,1,552.827,0.076,462.064,0.0218,86.936,1,1,1.0000,32768.00,20.000000,0.009183,0.358052,1.746951,34.2,158.0,34.2,158.0
289,1,562.849,0.156,454.724,0.0229,103.518,3,3,1.0000,10922.67,20.000000,0.008793,0.217832,2.307551,34.2,158.0,34.2,148.0
290,1,482.097,0.087,450.831,0.0206,27.392,3,2,0.6667,10922.67,13.333333,0.010090,0.374294,1.303668,34.2,148.0,34.2,140.0
291,1,519.381,0.135,442.998,0.0211,72.133,6,6,1.0000,5461.33,21.666667,0.005034,0.658284,2.128764,34.2,140.0,34.2,136.0
292,1,591.609,0.083,430.535,0.0215,156.906,5,4,0.8000,6553.60,16.000000,0.005542,0.327874,2.196764,34.2,136.0,34.2,164.0
293,1,572.396,0.083,434.870,0.0218,134.015,3,3,1.0000,10922.67,20.000000,-0.012055,0.434407,1.918810,34.2,164.0,34.2,162.0
294,1,643.795,0.077,455.034,0.0254,184.355,6,5,0.8333,5461.33,16.666667,0.009725,0.236474,1.971119,34.2,162.0,34.2,172.0
295,1,584.073,0.082,447.047,0.0205,133.009,6,6,1.0000,5461.33,20.000000,0.006380,0.582315,2.053043,34.2,172.0,34.2,162.0
296,1,602.849,0.146,444.346,0.0211,154.256,6,5,0.8333,5461.33,16.666667,0.009397,0.311390,2.013068,34.2,162.0,34.2,162.0
297,1,854.525,0.146,434.774,0.0216,414.548,14,14,1.0000,2340.57,20.000000,0.002886,0.377330,1.888029,34.2,162.0,34.2,166.0
298,1,647.179,0.085,440.828,0.0204,202.365,8,8,1.0000,4096.00,20.000000,0.005166,0.559462,1.862564,34.2,166.0,34.2,168.0
299,1,599.016,0.137,402.687,0.0216,192.376,7,6,0.8571,4681.14,17.142857,0.007722,0.406889,1.990845,34.2,168.0,34.2,160.0
300,1,695.619,0.161,428.627,0.0213,262.255,6,6,1.0000,5461.33,20.000000,0.004093,0.250661,1.879344,34.2,160.0,34.2,174.0
301,1,741.112,0.152,432.768,0.0213,303.954,10,10,1.0000,3276.80,21.000000,0.005571,0.497482,1.795916,34.2,174.0,34.2,152.0
302,1,611.107,0.076,413.872,0.0220,193.431,12,11,0.9167,2730.67,18.333333,0.005492,0.773325,1.765521,34.2,152.0,34.2,156.0
303,1,619.130,0.078,415.063,0.0226,199.980,9,8,0.8889,3640.89,17.777778,0.002877,0.350326,1.947102,34.2,156.0,34.2,166.0
304,1,769.330,0.077,411.908,0.0239,352.900,15,15,1.0000,2184.53,20.666667,0.000878,0.339545,1.963844,34.2,166.0,34.2,160.0
305,1,549.957,0.071,421.563,0.0216,124.701,6,6,1.0000,5461.33,20.000000,0.009001,0.420952,1.613948,34.2,160.0,34.2,148.0
306,1,803.906,0.147,404.474,0.0251,393.810,17,16,0.9412,1927.53,18.823529,0.005743,0.292098,1.800867,34.2,148.0,34.2,166.0
307,1,582.144,0.076,395.742,0.0210,182.341,10,10,1.0000,3276.80,20.000000,0.005411,0.826533,1.607598,34.2,166.0,34.2,154.0
308,1,525.644,0.139,408.242,0.0234,113.295,3,3,1.0000,10922.67,20.000000,0.007689,0.179700,2.105518,34.2,154.0,34.2,148.0
309,1,538.250,0.148,399.098,0.0209,135.211,5,4,0.8000,6553.60,16.000000,0.008280,0.247987,1.947921,34.2,148.0,34.2,156.0
310,1,732.712,0.078,418.201,0.0209,310.116,10,10,1.0000,3276.80,20.000000,-0.000386,0.278057,1.928160,34.2,156.0,34.2,154.0
311,1,660.974,0.087,396.586,0.0258,260.172,8,8,1.0000,4096.00,20.000000,0.007653,0.401048,1.788740,34.2,154.0,34.2,162.0
312,1,653.393,0.153,398.574,0.0205,250.666,16,13,0.8125,2048.00,16.250000,0.006089,0.614590,1.659356,34.2,162.0,34.2,156.0
313,1,584.750,0.081,378.127,0.0257,202.336,8,8,1.0000,4096.00,20.000000,0.003951,0.435662,1.626701,34.2,156.0,34.2,160.0
314,1,812.947,0.143,410.905,0.0219,397.581,12,12,1.0000,2730.67,20.000000,-0.001491,0.363159,2.061696,34.2,160.0,34.2,166.0
315,1,683.397,0.079,398.729,0.0243,279.864,10,10,1.0000,3276.80,20.000000,0.010257,0.342522,1.833053,34.2,166.0,34.2,156.0
316,1,607.023,0.084,385.359,0.0206,217.445,6,6,1.0000,5461.33,20.000000,0.007319,0.376156,1.986640,34.2,156.0,34.2,154.0
317,1,805.360,0.157,422.214,0.0217,378.520,16,15,0.9375,2048.00,18.750000,0.005067,0.477514,1.867627,34.2,154.0,34.2,146.0
318,1,620.689,0.137,408.631,0.0216,208.256,14,13,0.9286,2340.57,18.571429,0.007853,0.713529,1.506308,34.2,146.0,34.2,172.0
319,1,650.975,0.080,402.877,0.0215,243.929,13,13,1.0000,2520.62,20.000000,0.003760,0.328844,1.759942,34.2,172.0,33.8,158.0
