update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
479,1183.192,0.042,543.184,0.0103,638.744,2,2,1.0000,8192.00,1730.4000,0.022165,0.371697,1.366252,34.2,258.0,34.2,262.0
480,1064.369,0.057,495.532,0.0108,567.651,4,3,0.7500,4096.00,924.0500,-0.017793,0.614252,1.427037,34.2,262.0,34.2,288.0
481,1128.216,0.058,477.510,0.0106,649.515,2,2,1.0000,8192.00,1604.8501,-0.009431,0.534943,1.464428,34.2,288.0,33.8,242.0
482,946.722,0.042,465.410,0.0106,480.129,4,3,0.7500,4096.00,805.8250,-0.008527,0.614861,1.485335,33.8,242.0,34.2,256.0
483,949.900,0.058,457.630,0.0103,491.092,5,5,1.0000,3276.80,652.9000,-0.001440,0.926978,1.544865,34.2,256.0,33.8,240.0
484,937.015,0.045,446.168,0.0107,489.662,0,0,0.0000,16384.00,2831.3999,0.016556,0.216360,1.495950,33.8,240.0,34.2,270.0
485,959.307,0.068,461.920,0.0106,496.180,0,0,0.0000,16384.00,2478.7002,-0.000987,0.200346,1.554574,34.2,270.0,33.8,230.0
486,1055.136,0.029,475.303,0.0109,578.677,0,0,0.0000,16384.00,2656.6001,0.014297,0.188191,1.611014,33.8,230.0,33.8,244.0
487,931.777,0.036,449.842,0.0107,480.761,3,2,0.6667,5461.33,1000.5000,-0.000395,0.483471,1.587648,33.8,244.0,34.2,282.0
488,919.711,0.041,448.378,0.0109,470.149,2,0,0.0000,8192.00,1435.1000,0.002823,0.241952,1.639860,34.2,282.0,34.2,254.0
489,943.469,0.051,462.039,0.0109,480.209,1,1,1.0000,16384.00,2938.7000,-0.006340,0.299418,1.619732,34.2,254.0,34.2,258.0
490,963.583,0.067,472.251,0.0102,490.139,0,0,0.0000,16384.00,2841.0000,-0.018110,0.182098,1.483198,34.2,258.0,33.8,256.0
491,934.596,0.038,471.187,0.0103,462.230,2,1,0.5000,8192.00,1464.0500,0.008327,0.351247,1.280717,33.8,256.0,34.2,250.0
492,934.649,0.054,466.933,0.0104,466.459,0,0,0.0000,16384.00,2877.5000,-0.000029,0.200230,1.195916,34.2,250.0,34.2,278.0
493,954.533,0.033,483.199,0.0101,470.084,0,0,0.0000,16384.00,2689.8000,0.018577,0.166925,1.121713,34.2,278.0,33.8,244.0
494,950.519,0.067,464.631,0.0101,484.641,0,0,0.0000,16384.00,2905.2000,0.023538,0.190243,1.178898,33.8,244.0,33.8,242.0
495,995.137,0.065,471.649,0.0109,522.222,0,0,0.0000,16384.00,2822.1001,-0.001417,0.165840,1.179869,33.8,242.0,33.8,256.0
496,958.551,0.034,480.377,0.0106,477.004,3,1,0.3333,5461.33,1026.9001,-0.008927,0.225029,1.183229,33.8,256.0,34.2,264.0
497,988.226,0.056,480.201,0.0105,506.774,1,1,1.0000,16384.00,3057.8000,-0.019794,0.296073,1.209164,34.2,264.0,34.2,258.0
498,961.522,0.049,479.639,0.0097,480.607,0,0,0.0000,16384.00,3089.8000,0.004135,0.213376,1.339201,34.2,258.0,33.8,254.0
499,937.309,0.058,456.636,0.0100,479.446,3,3,1.0000,5461.33,1126.9333,-0.015714,0.549481,1.340543,33.8,254.0,34.2,254.0
